mode	label	graph	scale	re	im	abs	jacobian
independent	GL18_re_plus_80M	10	8.0	0.030537192010173395	0.03356009324177172	0.0453740008624169	8.506464555648617e+45
independent	GL18_re_plus_80M	10	4.0	0.06103749166300265	0.06710332766917625	0.09071070484120357	2.1787419990607044e+48
independent	GL18_re_plus_80M	10	2.0	0.12203810700073445	0.13418979662055505	0.18138412575908797	5.578971358086577e+50
independent	GL18_re_plus_80M	10	1.0	0.24403934568704094	0.2683627345697078	0.36273097406906196	1.4283948480430382e+53
independent	GL18_re_plus_80M	10	0.5	0.4880418270722866	0.5367086104556086	0.7254246739043592	3.65691889768933e+55
independent	GL18_re_plus_80M	10	0.25	0.976046791817718	1.0734003623103947	1.4508120752274385	9.362004339589753e+57
independent	GL18_re_plus_80M	10	0.125	1.9520567225320429	2.1467838659150495	2.9015868787502654	2.3967104827345258e+60
independent	GL18_re_plus_80M	10	0.0625	3.904076583739414	4.293550873069839	5.803136485672312	6.135626670534234e+62
independent	GL01_re_minus_80M	1	8.0	-0.0024185217984370763	-0.0007045243762965944	0.002519047892818121	1.515257849710959e+39
independent	GL01_re_minus_80M	1	4.0	-0.0048593815023160085	-0.0014194762635318756	0.005062460019376094	3.892631456481268e+41
independent	GL01_re_minus_80M	1	2.0	-0.009740892855554878	-0.00284924692120711	0.010149049297417383	9.982541664342994e+43
independent	GL01_re_minus_80M	1	1.0	-0.019503811950047523	-0.0057087220545913985	0.02032211081751585	2.5577606883816567e+46
independent	GL01_re_minus_80M	1	0.5	-0.039029598440506366	-0.011427639323880686	0.0406681754562936	6.550723177077925e+48
independent	GL01_re_minus_80M	1	0.25	-0.07808114558379256	-0.0228654573870565	0.08136027554769407	1.6773507663689266e+51
independent	GL01_re_minus_80M	1	0.125	-0.15618422697350715	-0.04574108527523248	0.16274446115757085	4.294486029023487e+53
independent	GL01_re_minus_80M	1	0.0625	-0.31239038326608926	-0.0914923369571246	0.3255128250607189	1.0994483396529898e+56
independent	GL03_im_plus_80M	2	8.0	-0.010178844734173575	0.036490349912285704	0.037883433276875295	1.688168662037282e+43
independent	GL03_im_plus_80M	2	4.0	-0.020339994736179614	0.0729289147925425	0.07571223149984248	4.327905131343892e+45
independent	GL03_im_plus_80M	2	2.0	-0.04066231156783521	0.14580608788324037	0.1513698743008493	1.108737008418676e+48
independent	GL03_im_plus_80M	2	1.0	-0.08130695364855876	0.2915604557140668	0.30268518306617387	2.8393825078864354e+50
independent	GL03_im_plus_80M	2	0.5	-0.16259624196545816	0.5830692021830884	0.6053158121474386	7.270119624486611e+52
independent	GL03_im_plus_80M	2	0.25	-0.32517482094002015	1.1660867005846873	1.210577076213595	1.8613170899053922e+55
independent	GL03_im_plus_80M	2	0.125	-0.650331978801816	2.3321216995863723	2.421099606446194	4.7651848358501165e+57
independent	GL03_im_plus_80M	2	0.0625	-1.3006462969902164	4.664191700324596	4.842144670210836	1.2199145936755452e+60
independent	GL17_im_minus_80M	9	8.0	-0.002244673470404561	-0.007543135104917576	0.0078700347013071	1.1033128955982648e+45
independent	GL17_im_minus_80M	9	4.0	-0.004485845286214174	-0.015069150775943306	0.015722662403039846	2.83045105432553e+47
independent	GL17_im_minus_80M	9	2.0	-0.008968193994277004	-0.030121211560101595	0.03142794758439348	7.253602677685958e+49
independent	GL17_im_minus_80M	9	1.0	-0.01793289394289468	-0.060225347826733375	0.06283853281242431	1.857901631606305e+52
independent	GL17_im_minus_80M	9	0.5	-0.03586229509470082	-0.12043362769208445	0.12565971068140738	4.757481999054273e+54
independent	GL17_im_minus_80M	9	0.25	-0.07172109802588122	-0.240850191130819	0.2513020701661451	1.2180758975770477e+57
independent	GL17_im_minus_80M	9	0.125	-0.14343870437899534	-0.481683320083973	0.5025867912719594	3.118479756784975e+59
independent	GL17_im_minus_80M	9	0.0625	-0.6734163338089034	-1.0658187771020498	1.2607375715286402	7.983571170372072e+61
relative_same_physical	GL18_re_plus_80M	10	8.0	0.026621112324425152	0.028999058444127774	0.03936532753624183	8.085244076652922e+45
relative_same_physical	GL18_re_plus_80M	10	4.0	0.05320617699046827	0.05797886515094407	0.07869209664338847	2.0705980166400627e+48
relative_same_physical	GL18_re_plus_80M	10	2.0	0.1063763245414151	0.1159384807825039	0.15734565055665028	5.301723736330836e+50
relative_same_physical	GL18_re_plus_80M	10	1.0	0.21271662874684652	0.23185771315254203	0.31465276622612137	1.3573683650888428e+53
relative_same_physical	GL18_re_plus_80M	10	0.5	0.42539724171807347	0.4636961784239478	0.6292670014757795	3.475025693364334e+55
relative_same_physical	GL18_re_plus_80M	10	0.25	0.8507584698395253	0.9273731092483263	1.258495473873704	8.896274007844839e+57
relative_same_physical	GL18_re_plus_80M	10	0.125	1.7014809273952272	1.854726971418144	2.516952420050018	2.2774728000154776e+60
relative_same_physical	GL18_re_plus_80M	10	0.0625	3.4029258449835713	3.7094346972939674	5.033866315263601	5.830364484039721e+62
relative_same_physical	GL01_re_minus_80M	1	8.0	-0.001025853844015282	-0.00024282136632268627	0.0010542003249969841	1.7074360296036513e+38
relative_same_physical	GL01_re_minus_80M	1	4.0	-0.0020631474495136385	-0.000490772350991704	0.0021207156572564264	4.374954527603918e+40
relative_same_physical	GL01_re_minus_80M	1	2.0	-0.004137635052819333	-0.0009866100708243349	0.004253636475084729	1.1204889524790242e+43
relative_same_physical	GL01_re_minus_80M	1	1.0	-0.008286560635347379	-0.0019782535576206993	0.008519423354988747	2.869091869930794e+45
relative_same_physical	GL01_re_minus_80M	1	0.5	-0.016584387032597965	-0.003961524598279485	0.01705096977857204	7.345694191569005e+47
relative_same_physical	GL01_re_minus_80M	1	0.25	-0.03318002745650632	-0.007928058724430136	0.03411404897036595	1.8806025206768186e+50
relative_same_physical	GL01_re_minus_80M	1	0.125	-0.06637130211260941	-0.015861122990902154	0.06824020051740613	4.814476590766527e+52
relative_same_physical	GL01_re_minus_80M	1	0.0625	-0.13275384830856254	-0.03172724953387006	0.13649250017388243	1.2325231758380566e+55
relative_same_physical	GL03_im_plus_80M	2	8.0	-0.010057237916683342	0.03583695215721839	0.037221434341405124	6.14615501251536e+44
relative_same_physical	GL03_im_plus_80M	2	4.0	-0.020091413348548505	0.07160246682382512	0.07436785693832525	1.573821388114857e+47
relative_same_physical	GL03_im_plus_80M	2	2.0	-0.04015978953226294	0.14313356539424676	0.14866077572024428	4.029502074969648e+49
relative_same_physical	GL03_im_plus_80M	2	1.0	-0.08029655454026854	0.2861957971155206	0.29724665003600387	1.0316190055482537e+52
relative_same_physical	GL03_im_plus_80M	2	0.5	-0.16057009091156535	0.5723202778684131	0.5944184170722892	2.6410297421694417e+54
relative_same_physical	GL03_im_plus_80M	2	0.25	-0.3211171668672359	1.1445692480112668	1.1887619603393764	6.761145053081087e+56
relative_same_physical	GL03_im_plus_80M	2	0.125	-0.6422113201486085	2.2890671925440698	2.377449051338137	1.7308670746259352e+59
relative_same_physical	GL03_im_plus_80M	2	0.0625	-1.284399624955386	4.578063084067849	4.7548232352307656	4.43103755586142e+61
relative_same_physical	GL17_im_minus_80M	9	8.0	-0.0016222650204435723	-0.003546638379753082	0.003900049691131172	2.1568177450239814e+50
