mode	channel	graph	scale	mean_radius	re	im	abs	jacobian
summed	None	10	16.0	2056.2006895537943	0.0152870582244649	0.016788476117128096	0.02270566183782275	3.3195220803022064e+43
summed	None	10	8.0	4113.401379107589	0.030537192010173395	0.03356009324177172	0.0453740008624169	8.506464555648617e+45
summed	None	10	4.0	8227.802758215177	0.06103749166300265	0.06710332766917625	0.09071070484120357	2.1787419990607044e+48
summed	None	10	2.0	16456.605516430354	0.12203810700073445	0.13418979662055505	0.18138412575908797	5.578971358086577e+50
summed	None	10	1.0	32914.21103286071	0.24403934568704094	0.2683627345697078	0.36273097406906196	1.4283948480430382e+53
summed	None	10	0.5	65829.42206563668	0.4880418270722866	0.5367086104556086	0.7254246739043592	3.65691889768933e+55
summed	None	10	0.25	131659.84413192148	0.976046791817718	1.0734003623103947	1.4508120752274385	9.362004339589753e+57
summed	None	10	0.125	263320.68826519884	1.9520567225320429	2.1467838659150495	2.9015868787502654	2.3967104827345258e+60
summed	None	10	0.0625	526642.3765146042	3.904076583739414	4.293550873069839	5.803136485672312	6.135626670534234e+62
selected_channel	0	10	16.0	2056.2006895537943	0.0010003147656956369	0.002056673158641049	0.0022870360976476227	3.3195220803022064e+43
selected_channel	0	10	8.0	4113.401379107589	0.0019991285404466048	0.004112724968807133	0.004572857048965975	8.506464555648617e+45
selected_channel	0	10	4.0	8227.802758215177	0.003996757187633631	0.008224827017489438	0.009144498208459844	2.1787419990607044e+48
selected_channel	0	10	2.0	16456.605516430354	0.00799201503045905	0.016449030330642028	0.018287780156855143	5.578971358086577e+50
selected_channel	0	10	1.0	32914.21103286071	0.015982530990419786	0.03289743656485029	0.03657434386831946	1.4283948480430382e+53
selected_channel	0	10	0.5	65829.42206563668	0.03196356304768209	0.06579424883562061	0.07314747119721031	3.65691889768933e+55
selected_channel	0	10	0.25	131659.84413192148	0.06392562723615519	0.13158787328662624	0.1462937258177297	9.362004339589753e+57
selected_channel	0	10	0.125	263320.68826519884	0.1278497556653864	0.26317512215913935	0.29258623506101056	2.3967104827345258e+60
selected_channel	0	10	0.0625	526642.3765146042	0.25569801246788665	0.5263496195742193	0.5851712532293029	6.135626670534234e+62
selected_channel	1	10	16.0	2056.2006895537943	0.0010003358563236448	0.0020571353000150127	0.0022874609216366115	3.3195220803022064e+43
selected_channel	1	10	8.0	4113.401379107589	0.001999149583673428	0.004113186822554761	0.004573281633044238	8.506464555648617e+45
selected_channel	1	10	4.0	8227.802758215177	0.0039967782071535125	0.008225288727529536	0.009144922672631065	2.1787419990607044e+48
selected_channel	1	10	2.0	16456.605516430354	0.007992036038184646	0.016449491968745573	0.018288204561013287	5.578971358086577e+50
selected_channel	1	10	1.0	32914.21103286071	0.015982551991990137	0.03289789816771945	0.03657476824301566	1.4283948480430382e+53
selected_channel	1	10	0.5	65829.42206563668	0.031963584048516396	0.06579471041983426	0.07314789555726411	3.65691889768933e+55
selected_channel	1	10	0.25	131659.84413192148	0.06392564823059242	0.1315883348583151	0.14629415016495192	9.362004339589753e+57
selected_channel	1	10	0.125	263320.68826519884	0.12784977659372956	0.26317558364791344	0.29258665930538674	2.3967104827345258e+60
selected_channel	1	10	0.0625	526642.3765146042	0.2556980335466216	0.526350081529179	0.5851716779590265	6.135626670534234e+62
selected_channel	2	10	16.0	2056.2006895537943	0.001001063295476849	0.0020563434734344782	0.002287067161735209	3.3195220803022064e+43
selected_channel	2	10	8.0	4113.401379107589	0.0019998768656078925	0.004112395564426296	0.004572888010426969	8.506464555648617e+45
selected_channel	2	10	4.0	8227.802758215177	0.003997505410351393	0.008224497753659459	0.009144529118863263	2.1787419990607044e+48
selected_channel	2	10	2.0	16456.605516430354	0.007992763201971818	0.01644870113687796	0.018287811041596123	5.578971358086577e+50
selected_channel	2	10	1.0	32914.21103286071	0.015983279135878083	0.032897107407120756	0.036574374740944444	1.4283948480430382e+53
selected_channel	2	10	0.5	65829.42206563668	0.03196431118082126	0.0657939196933688	0.07314750206180548	3.65691889768933e+55
selected_channel	2	10	0.25	131659.84413192148	0.06392637535581201	0.1315875441277108	0.14629375665316138	9.362004339589753e+57
