mode	label	channel	graph	scale	mean_radius	re	im	abs	jacobian
summed	GL06_prob1000	None	4	16.0	978.1094712229884	0.002451783543381559	0.0009615854618137103	0.002633607629083748	3.996057410090965e+40
summed	GL06_prob1000	None	4	8.0	1957.2189424459768	0.004918465653315659	0.0019296710601876138	0.005283458600516467	1.0256035185859069e+43
summed	GL06_prob1000	None	4	4.0	3915.4378848919537	0.009851751226018873	0.003865815593275505	0.010583077644077662	2.6288939019144502e+45
summed	GL06_prob1000	None	4	2.0	7831.875769783907	0.01971828315453956	0.007738091352000764	0.02118227439002969	6.7342578443981054e+47
summed	GL06_prob1000	None	4	1.0	15664.751539567815	0.039451327429758765	0.015482636222469245	0.04238064723865544	1.7245192422561031e+50
summed	GL06_prob1000	None	4	0.5	31330.50307913563	0.07891740619793441	0.030971722640511953	0.08477738262255198	4.415472397453225e+52
summed	GL06_prob1000	None	4	0.25	62662.006158237724	0.15784955884094734	0.06194989379474985	0.16957084822416404	1.1304509428405329e+55
summed	GL06_prob1000	None	4	0.125	125325.01231647545	0.31571386159724685	0.12390623545002495	0.3391577768355645	2.89406963014054e+57
summed	GL06_prob1000	None	4	0.0625	250651.0246329509	0.6314424659819184	0.24781891775328266	0.6783316326412432	7.408965733324158e+59
summed	GL14_bins128_im_minus	None	7	16.0	256.718901532201	-6.694415632146997e-05	-0.0006211348073908534	0.0006247319177199657	2.200284184738489e+35
summed	GL14_bins128_im_minus	None	7	8.0	514.437803064402	-0.00013184473947368698	-0.0012330715946228734	0.0012401002349780763	5.711397540247004e+37
summed	GL14_bins128_im_minus	None	7	4.0	1029.875606128804	-0.00026167984883554386	-0.0024570291627901445	0.002470924654878783	1.4722547057608434e+40
summed	GL14_bins128_im_minus	None	7	2.0	2060.751212257608	-0.0005213668954730291	-0.0049049858616232464	0.004932616926380876	3.781990428451858e+42
summed	GL14_bins128_im_minus	None	7	1.0	4122.502424515216	-0.0010407493665741789	-0.009800919933238762	0.00985602307128902	9.698586648779306e+44
