eta	theta	x4	x5	re_lmb_off	im_lmb_off	abs_lmb_off	re_lmb_on	im_lmb_on	abs_lmb_on
1.0000000000000000e-02	2.8168052860714143e-04	6.3030175509175368e-01	6.0390249286615338e-01	-2.7211535416361204e-01	1.7329347755517968e+00	1.7541692342212436e+00	-8.5680040897910423e+00	1.1366399814463229e+02	1.1398646923343861e+02
1.1406249238510000e-02	3.2129183149283013e-04	6.3029811847548511e-01	6.0391848749067845e-01	-2.7356577920439640e-01	1.7427273771524432e+00	1.7640682942075521e+00	-8.8677481537255556e+00	1.1442967189387694e+02	1.1477276143344393e+02
1.3010252169110000e-02	3.6647347083071131e-04	6.3029397039863011e-01	6.0393673115899782e-01	-2.7521485956078040e-01	1.7538709465789819e+00	1.7753327902612834e+00	-9.2101087538773534e+00	1.1530100271256521e+02	1.1566826414268183e+02
1.4839817889680000e-02	4.1800877475987760e-04	6.3028923891849353e-01	6.0395754008275526e-01	-2.7708886118037807e-01	1.7665471099746799e+00	1.7881462268925694e+00	-9.6011950890136681e+00	1.1629218268905274e+02	1.1668785156014022e+02
1.6926666150380000e-02	4.7679122687956457e-04	6.3028384196984055e-01	6.0398127492275910e-01	-2.7921720723238774e-01	1.7809602857175042e+00	1.8027151156290970e+00	-1.0047998861182185e+01	1.1741917095605190e+02	1.1784830923318697e+02
1.9306977288830001e-02	5.4383995685237084e-04	6.3027768593972500e-01	6.0400834703419071e-01	-2.8163274500582147e-01	1.7973399524724165e+00	1.8192712573481347e+00	-1.0558519744678909e+01	1.1869985993886125e+02	1.1916853229231303e+02
2.2022019499870000e-02	6.2031740937201578e-04	6.3027066404139243e-01	6.0403922558839929e-01	-2.8437198975643885e-01	1.8159429022859801e+00	1.8380740063775629e+00	-1.1141906127967523e+01	1.2015423395470926e+02	1.2066972283637452e+02
2.5118864315099999e-02	7.0754949782884284e-04	6.3026265445884722e-01	6.0407444569405411e-01	-2.8747532108541218e-01	1.8370553544016013e+00	1.8594123898072621e+00	-1.1808611200333468e+01	1.2180450688686987e+02	1.2237557434567640e+02
2.8651202696640000e-02	8.0704859208199106e-04	6.3025351822963427e-01	6.0411461765753915e-01	-2.9098709594560063e-01	1.8609947388163024e+00	1.8836068878374839e+00	-1.2570563179719281e+01	1.2367521886486907e+02	1.2431242423800036e+02
3.2680275894099997e-02	9.2053973888773079e-04	6.3024309682875590e-01	6.0416043754195181e-01	-2.9495562732801917e-01	1.8881108699216560e+00	1.9110105910770818e+00	-1.3441346318876892e+01	1.2579326215133185e+02	1.2650934587427793e+02
3.7275937203149999e-02	1.0499905695709900e-03	6.3023120941135580e-01	6.0421269920621434e-01	-2.9943295566149547e-01	1.9187860974675319e+00	1.9420093158300915e+00	-1.4436385815188871e+01	1.2818779262867429e+02	1.2899813725173317e+02
4.2517863033829997e-02	1.1976454134615272e-03	6.3021764966573457e-01	6.0427230803100085e-01	-3.0447431162304911e-01	1.9534338477229722e+00	1.9770200818069872e+00	-1.5573124174344139e+01	1.3088996381912008e+02	1.3181314359774638e+02
4.8496934285279999e-02	1.3660642085303470e-03	6.3020218222131796e-01	6.0434029656680899e-01	-3.1013712888277112e-01	1.9924947147098724e+00	2.0164871005931144e+00	-1.6871167930305468e+01	1.3393239329238051e+02	1.3499082294866366e+02
5.5316811976169999e-02	1.5581668838309415e-03	6.3018453854822665e-01	6.0441784237202245e-01	-3.1647941360265380e-01	2.0364289281354164e+00	2.0608740860569430e+00	-1.8352370451975833e+01	1.3734823416525512e+02	1.3856892483352937e+02
