path	radius	relative_radius	raw_abs_weight	bad_channel_probability_ose_alpha1	bad_channel_probability_ose_alpha3	bad_channel_probability_ose_alpha4	bad_channel_probability_jacobian_linear	bad_channel_probability_jacobian_log	bad_channel_weighted_abs_ose_alpha1	bad_channel_weighted_abs_ose_alpha3	bad_channel_weighted_abs_ose_alpha4	bad_channel_weighted_abs_jacobian_linear	bad_channel_weighted_abs_jacobian_log
fixed relative q	100.0	0.2	471.4768289460117	0.0019959063985959804	7.998776092349048e-09	1.5996736499836192e-11	9.139351009598527e-07	1.3388990535200167e-06	0.9410236196830873	3.7712375874699005e-06	7.54209059842769e-09	0.0004308992232630044	0.0006312598800324339
fixed relative q	107.50942544107048	0.2	506.8794882054921	0.001856765935822304	6.437138825700616e-09	1.1974494005082634e-11	7.320812767456564e-07	1.0668182210867559e-06	0.941156567267001	3.262853633478831e-06	6.069625392816019e-09	0.00037107698288166155	0.0005407482739127484
fixed relative q	115.58276558669078	0.2	544.9408612905238	0.0017273069746286676	5.180372666649252e-09	8.963576733162004e-12	5.848878970356526e-07	8.447870725702496e-07	0.9412801504672751	2.8229967427697308e-06	4.8846192252130025e-09	0.00031872931436901174	0.00046035899493353206
fixed relative q	124.26236719115056	0.2	585.8605899355168	0.00160685844022925	4.168963436479151e-09	6.7097156760619845e-12	4.66083282094781e-07	6.645331685410176e-07	0.9413950337355729	2.442431378315275e-06	3.930957984277259e-09	0.0002730598266071303	0.00038932379415315883
fixed relative q	133.59375700667906	0.2	629.8533086876952	0.0014947954083334319	3.3550134468804726e-09	5.022566421318895e-12	3.704613887223829e-07	5.190172739620833e-07	0.9415018337499864	2.1131663202093744e-06	3.1634800785714225e-09	0.00023333633142783128	0.00032690474727108614
fixed relative q	143.62588058302052	0.2	677.1497707208099	0.0013905359842721126	2.699974496894403e-09	3.7596396188492575e-12	2.937139613641532e-07	4.022625511157367e-07	0.9416011229288967	1.8282871115240788e-06	2.5458391058966477e-09	0.00019888834159523716	0.0002723919942575892
fixed relative q	154.41135899948313	0.2	727.9980581951885	0.0012935383852690939	2.1728231616571893e-09	2.8142705370706567e-12	2.322868874302477e-07	3.0920707704360376e-07	0.9416934326768399	1.581811042487964e-06	2.0487834862233684e-09	0.00016910440299342465	0.0002251021516679536
fixed relative q	166.00676487609297	0.2	782.6648835127937	0.00120329821386261	1.7485921191602076e-09	2.106612660686363e-12	1.832575676855605e-07	2.355764357448543e-07	0.9417792563839323	1.368561647253913e-06	1.6487717526826686e-09	0.00014342926286545712	0.00018437740364060553
fixed relative q	178.47291911159613	0.2	841.4369882926917	0.0011193459109868345	1.407188070755083e-09	1.5768953065165747e-12	1.4423051246470688e-07	1.777735736486959e-07	0.9418590521985013	1.18406009221756e-06	1.3268580375681875e-09	0.00012136088802821448	0.00014958526040898768
fixed relative q	191.87520990478345	0.2	904.622647404941	0.001041244377744642	1.1324403481737256e-09	1.1803762070902546e-12	1.1324871999740189e-07	1.3278348917382737e-07	0.9419332455908684	1.0244311857930888e-06	1.067795049391789e-09	0.00010244735689927057	0.00012011895150809302
fixed relative q	206.28393573248042	0.2	972.553285951925	0.0009685867554320436	9.113352004418172e-10	8.835630131427365e-13	8.871869326674785e-08	9.809066170155159e-08	0.9420022317249476	8.863220437933456e-07	8.593121117775523e-10	8.628365666193655e-05	9.539839535904263e-05
fixed relative q	221.7746740832167	0.2	1045.5852176786466	0.0009009943539025754	7.333995309722125e-10	6.613847409623082e-13	6.934721402798897e-08	7.160741896817878e-08	0.9420663776524559	7.668317082369982e-07	6.915341083484103e-10	7.250842187486255e-05	7.487165874924926e-05
fixed relative q	238.42867788067264	0.2	1124.1015139303563	0.0008381147188832034	5.90204921580806e-10	4.95074361335064e-13	5.408822301200022e-08	5.161170050729678e-08	0.942126024343924	6.634502458781312e-07	5.565138390848497e-10	6.080065337359219e-05	5.801679067677245e-05
fixed relative q	256.3333016762518	0.2	1208.5140129607219	0.000779619829364461	4.749684691436019e-10	3.705837514840747e-13	4.2098358869403755e-08	3.6692903017820894e-08	0.942181488568998	5.740060506745451e-07	4.47855656644058e-10	5.087645661632373e-05	4.434388747324531e-05
fixed relative q	275.5824598462639	0.2	1299.2654801298404	0.0007252044166859363	3.8223154038768685e-10	2.7739717104531406e-13	3.269988901484133e-08	2.5704695031617298e-08	0.9422330646377339	4.966202458425765e-07	3.604125686248494e-10	4.2485837001060316e-05	3.339722293184537e-05
fixed relative q	296.27711919708696	0.2	1396.8319303229316	0.0006745843974197719	3.0760123697092606e-10	2.0764306792524907e-13	2.53499263080004e-08	1.7723865671300944e-08	0.9422810260135916	4.2966722960782016e-07	2.9004246738820126e-10	3.5409586498348266e-05	2.475726149842764e-05
fixed relative q	318.5258285621434	0.2	1501.7251247713536	0.0006274954126184875	2.4754233060509797e-10	1.554292080370442e-13	1.9614968891944663e-08	1.2014427436867613e-08	0.9423256268079502	3.717405373141324e-07	2.3341194683254286e-10	2.945629160664182e-05	1.804236754168639e-05
fixed relative q	342.44528816856945	0.2	1614.4952553724602	0.0005836914664377641	1.9920981668117054e-10	1.1634497962234876e-13	1.5149928417290487e-08	7.996326953114441e-09	0.9423671031651637	3.216233038553674e-07	1.8783841758668763e-10	2.4459487548947897e-05	1.2910031926210185e-05
fixed relative q	368.1609617600467	0.2	1735.7338305881958	0.0005429436575694323	1.6031415753227193e-10	8.708883939767672e-14	1.1680925847166778e-08	5.218231073362605e-09	0.9424056745465564	2.782627067510098e-07	1.511630448092096e-10	2.027497816551946e-05	9.057460209862026e-06
fixed relative q	395.80773468654536	0.2	1866.076778059781	0.0005050389973238801	1.290128339988605e-10	6.518943554026007e-14	8.991235325606137e-09	3.333949065901757e-09	0.9424415449206885	2.4074785359695497e-07	1.2164849183650428e-10	1.6778335447184384e-05	6.221404931113367e-06
fixed relative q	425.53062141282095	0.2	2006.2077802124209	0.0004697793085856999	1.0382306951310593e-10	4.879685356830407e-14	6.909846280432667e-09	2.0821252737039026e-09	0.9424749038674428	2.0829064982272812e-07	9.789662727861785e-11	1.3862587367875875e-05	4.177175923481685e-06
fixed relative q	457.48552615674055	0.2	2156.8618603462382	0.0004369802002297006	8.355159340002736e-11	3.652635330968647e-14	5.3021929819924265e-09	1.268891472418387e-09	0.9425059276019038	1.802092451756755e-07	7.878229835119433e-11	1.1436097819054953e-05	2.7368236217777997e-06
fixed relative q	491.84006064716937	0.2	2318.8292380233033	0.00040647011192930385	6.72381169261053e-11	2.7341398375964715e-14	4.062670079810723e-09	7.532056294812911e-10	0.9425347799242745	1.5591371143788254e-07	6.340003396262984e-11	9.420638165507571e-06	1.7465552358849646e-06
