mode	include_integrated_ct	domain	channel	sample_count	estimate	standard_error	relative_error	sample_variance	variance_reduction_vs_uniform	max_abs_weight	p99_abs_weight	p999_abs_weight
3d_cff_expansion	False	fixed_hard_radius	uniform	250000	-249745.99259559423	887.6853069570479	0.0035543525552958464	196996301046.85712		206578053.8142697	862623.5051040413	1861061.6825636346
3d_cff_expansion	False	fixed_hard_radius	ridge	250000	-248359.06298373445	29.857742221778214	0.00012022006309362529	222871192.64553937	883.902036456392	288826.9472934106	283000.73704365006	287083.14814755495
3d_cff_expansion	False	fixed_hard_radius	multichannel	250000	-248398.27722946	75.64123684893437	0.00030451594790675677	1430399178.009147	137.72120683195567	384422.89836539846	356206.1638017956	375982.8937952733
3d_cff_expansion	False	log_hard_radius	uniform	250000	-2487859.4786290573	11897.016556473272	0.004782029153442846	35384750736249.79		475500183.0148589	24380315.679865997	55847728.42266025
3d_cff_expansion	False	log_hard_radius	ridge	250000	-2482574.58547329	9429.367050703086	0.0037982210507908768	22228240744221.254	1.591882647998082	26146289.345034093	20759574.564071793	23621944.39470019
3d_cff_expansion	False	log_hard_radius	multichannel	250000	-2476967.391684845	9555.209850741023	0.003857624401038854	22825508822924.57	1.5502283436814985	34644725.551633954	21242172.330572657	27507749.894658234
3d_cff_expansion	True	fixed_hard_radius	uniform	250000	-332259.44713228877	453.47187606226777	0.0013648125884038998	51409185594.85818		23892071.012758445	1139633.1868786616	2661777.808473767
3d_cff_expansion	True	fixed_hard_radius	ridge	250000	-331766.8621752001	39.80548818788484	0.0001199803016097017	396119222.4689599	129.78210265695103	385929.0437701162	377891.7327378741	383481.6497473435
3d_cff_expansion	True	fixed_hard_radius	multichannel	250000	-331746.08089349366	100.77000047278591	0.0003037564157544272	2538648248.821318	20.250613931539043	514607.28550341784	474748.6551660034	500687.64983291196
3d_cff_expansion	True	log_hard_radius	uniform	250000	-3345712.65415919	16821.357502229264	0.005027735266302071	70739517054451.19		1172661210.896436	32625132.141407043	76255234.2135865
3d_cff_expansion	True	log_hard_radius	ridge	250000	-3334474.2990117893	12686.993572200296	0.003804795729257903	40239951475262.91	1.7579424045264462	35103824.649689816	27907665.846867844	31848383.06107429
3d_cff_expansion	True	log_hard_radius	multichannel	250000	-3312447.0744120046	12792.720512492819	0.003862015067746755	40913424527688.63	1.7290050361484017	45453872.432880044	28408658.422527075	37029166.88981604
4d_first_then_cff	False	fixed_hard_radius	uniform	250000	18250.24302651219	3.5875359784921	0.00019657469619886563	3217603.599243818		23149.207154443866	22396.9107636893	22921.48821725703
4d_first_then_cff	False	fixed_hard_radius	ridge	250000	18231.45159474713	13.454571817007757	0.0007379868655595315	45256375.694754854	0.07109724430754037	34679.33329776018	31733.551687376872	33771.112714143404
4d_first_then_cff	False	fixed_hard_radius	multichannel	250000	18243.218313815545	10.713645978156498	0.0005872673227860832	28695552.536317226	0.11212899961314923	30851.50586511675	28707.612973237632	30175.670496704774
4d_first_then_cff	False	log_hard_radius	uniform	250000	182567.3258549131	697.1825858438634	0.003818769774816754	121515889500.984		2070041.0816290174	1537754.293317882	1839784.435842161
4d_first_then_cff	False	log_hard_radius	ridge	250000	183015.84579726614	753.0966988728761	0.0041149261999264865	141788659463.30585	0.8570212170771786	3120019.197466864	1811004.1875917087	2472261.123632036
4d_first_then_cff	False	log_hard_radius	multichannel	250000	180996.07305801965	726.2135246330284	0.004012316468326002	131846520839.98157	0.9216465381628418	2786739.0911821895	1704791.0831783987	2224253.562980767
4d_first_then_cff	True	fixed_hard_radius	uniform	250000	24387.00933608658	4.794761241784895	0.0001966112849553006	5747433.841430657		30911.182662530653	29919.42039678768	30601.231336452478
4d_first_then_cff	True	fixed_hard_radius	ridge	250000	24380.62286674183	18.031172919727375	0.0007395698222428974	81280799.21527745	0.07071084311324508	46364.493052005986	42461.94330477286	45059.90364395421
4d_first_then_cff	True	fixed_hard_radius	multichannel	250000	24368.195897744772	14.376238382684752	0.0005899590779313804	51669057.50894458	0.11123550764276476	41235.11278190326	38383.10324180971	40375.97276777562
4d_first_then_cff	True	log_hard_radius	uniform	250000	243677.53655722743	930.7877350003932	0.0038197519071758944	216591451906.7906		2775934.070031632	2057934.5177321685	2453939.2435558024
4d_first_then_cff	True	log_hard_radius	ridge	250000	243816.093267584	1003.9850131608191	0.004117796326344065	251996476662.88254	0.8595019056418939	4172180.229686814	2402667.44963186	3233113.0429405738
4d_first_then_cff	True	log_hard_radius	multichannel	250000	243830.45074698853	975.7440061111939	0.004001731543873812	238019091365.48038	0.9099751228535384	3621652.6320729847	2271188.956426874	2998990.793344576
