include_integrated_ct	mode	case	radius	original	local_double_uv_ct	subtracted	relative_norm
False	3d_cff_expansion	locked equal	100.0	121.69250895748456	115004249.93125157	-115004128.23874262	0.0
False	3d_cff_expansion	locked equal	106.51168624012551	129.61617555629147	122492429.2917368	-122492299.67556123	0.0
False	3d_cff_expansion	locked equal	113.44739305714943	138.05584117145057	130468248.1983964	-130468110.14255522	0.0
False	3d_cff_expansion	locked equal	120.8347313406328	147.04510391829172	138963458.2034476	-138963311.1583437	0.0
False	3d_cff_expansion	locked equal	128.70310991463342	156.61974984564776	148011878.543089	-148011721.92333916	0.0
False	3d_cff_expansion	locked equal	137.0838526135582	166.8178953993023	157649530.77111164	-157649363.95321622	0.0
False	3d_cff_expansion	locked equal	146.01032298162906	177.68013916269348	167914782.1598857	-167914604.47974655	0.0
False	3d_cff_expansion	locked equal	155.5180570923866	189.24972347894948	178848498.43959725	-178848309.18987378	0.0
False	3d_cff_expansion	locked equal	165.6449050169821	201.5727065976683	190494206.48378637	-190494004.91107976	0.0
False	3d_cff_expansion	locked equal	176.4311815044419	214.69814603175675	202898267.5888358	-202898052.89068976	0.0
False	3d_cff_expansion	locked equal	187.9198264737575	228.67829385426657	216110062.03723088	-216109833.35893703	0.0
False	3d_cff_expansion	locked equal	200.15657595671672	243.5688047126999	230182185.6793325	-230181942.11052778	0.0
False	3d_cff_expansion	locked equal	213.1901441719966	259.4289573888871	245170659.3162536	-245170399.8872962	0.0
False	3d_cff_expansion	locked equal	227.07241745534824	276.3218907864558	261135151.7173817	-261134875.39549088	0.0
False	3d_cff_expansion	locked equal	241.85866081790826	294.3148552853593	278139217.16038257	-278138922.8455273	0.0
False	3d_cff_expansion	locked equal	257.6077379549398	313.4794804640971	296250548.4393221	-296250234.95984167	0.0
False	3d_cff_expansion	locked equal	274.38234558085026	333.8920602554214	315541246.34812456	-315540912.4560643	0.0
False	3d_cff_expansion	locked equal	292.24926302337207	355.6338566707331	336088106.7121791	-336087751.07832247	0.0
False	3d_cff_expansion	locked equal	311.2796180705332	378.79142330228433	357972926.1107583	-357972547.319335	0.0
False	3d_cff_expansion	locked equal	331.54917012874705	403.45694989104106	381282827.50732124	-381282424.05037135	0.0
False	3d_cff_expansion	locked equal	353.138611819271	429.7286293319275	406110607.0840328	-406110177.3554034	0.0
False	3d_cff_expansion	locked equal	376.1338902136767	457.71104857748344	432555103.661232	-432554645.9501834	0.0
False	3d_cff_expansion	locked equal	400.62654898716903	487.5156049961225	460721592.1725072	-460721104.65690225	0.0
False	3d_cff_expansion	locked equal	426.7140928518562	519.260949842499	490722202.76179135	-490721683.5008415	0.0
False	3d_cff_expansion	locked equal	454.50037572076695	553.0734606054252	522676367.17088604	-522675814.09742546	0.0
False	3d_cff_expansion	locked equal	484.0960141478949	589.0877441137551	556711294.1944872	-556710705.1067431	0.0
False	3d_cff_expansion	locked equal	515.6188276901594	627.4471724030767	592962476.0954727	-592961848.6483003	0.0
False	3d_cff_expansion	locked equal	549.1943079443554	668.3044534764957	631574227.9964913	-631573559.6920378	0.0
False	3d_cff_expansion	locked equal	584.9561181263206	711.8222392316881	672700262.3951516	-672699550.5729123	0.0
False	3d_cff_expansion	locked equal	623.0466251811245	758.173772974368	716504301.0899439	-716503542.916171	0.0
False	3d_cff_expansion	locked equal	663.6174665426095	807.5435790959115	763160726.952961	-763159919.4093819	0.0
False	3d_cff_expansion	locked equal	706.8301537985341	860.1281976607215	812855278.1441089	-812854418.0159112	0.0
False	3d_cff_expansion	locked equal	752.8567156644913	916.1369668277084	865785787.5304533	-865784871.3934865	0.0
