include_integrated_ct	mode	delta	abs_subtracted	measure_weighted_delta2_abs_subtracted
False	3d_cff_expansion	9.999999999999999e-06	114428147579.59312	11.44281475795931
False	3d_cff_expansion	1.0595088837115579e-05	108059374245.17201	12.13030311614
False	3d_cff_expansion	1.1225590746637138e-05	102039159109.65486	12.858351127963498
False	3d_cff_expansion	1.1893613120972307e-05	96349476274.94177	13.629407401309374
False	3d_cff_expansion	1.2601388761098507e-05	90972574482.52829	14.445989847447422
False	3d_cff_expansion	1.3351283339486879e-05	85892249111.36224	15.310874620738746
False	3d_cff_expansion	1.4145803307136463e-05	81092567073.84807	16.22692686625462
False	3d_cff_expansion	1.4987604271147418e-05	76558584530.98247	17.197223299355475
False	3d_cff_expansion	1.5879499870833977e-05	72276045322.62453	18.225020341585317
False	3d_cff_expansion	1.682447118204517e-05	68231175478.25615	19.31370966300205
False	3d_cff_expansion	1.782567668112595e-05	64411177122.3867	20.46695742833851
False	3d_cff_expansion	1.8886462801822905e-05	60803778060.92156	21.688615040187486
False	3d_cff_expansion	2.001037512041929e-05	57397322692.52206	22.982755420823114
False	3d_cff_expansion	2.1201170206484973e-05	54180836615.40326	24.3537235599152
False	3d_cff_expansion	2.246282817885163e-05	51143816425.53212	25.806077837236156
False	3d_cff_expansion	2.379956600877962e-05	48276403356.41735	27.344688633225918
False	3d_cff_expansion	2.5215851614781683e-05	45569210327.74712	28.974688993504472
False	3d_cff_expansion	2.6716418796213626e-05	43013341284.5144	30.70150500073928
False	3d_cff_expansion	2.830628305554678e-05	40600466558.92405	32.53094764139506
False	3d_cff_expansion	2.9990758362205816e-05	38322641272.62186	34.46913058021732
False	3d_cff_expansion	3.177547491400375e-05	36172300768.66303	36.522477795357254
False	3d_cff_expansion	3.366639795554073e-05	34142407360.972485	38.69790419977389
False	3d_cff_expansion	3.56698477164641e-05	32226241967.265915	41.002673416021736
False	3d_cff_expansion	3.7792520536232147e-05	30417434393.912876	43.44444919997849
False	3d_cff_expansion	4.004151124598945e-05	28710034773.252457	46.031448255130435
False	3d_cff_expansion	4.242433688236216e-05	27098341909.988	48.772255882716465
False	3d_cff_expansion	4.4948961812434605e-05	25577025713.459564	51.676057242047115
False	3d_cff_expansion	4.762382435388603e-05	24141036367.167896	54.75256202703214
False	3d_cff_expansion	5.045786497926109e-05	22785601209.060875	58.012052686323116
False	3d_cff_expansion	5.346055619864554e-05	21506211247.831066	61.46541992425244
False	3d_cff_expansion	5.6641934220625944e-05	20298598096.852764	65.12416912066944
False	3d_cff_expansion	6.0012632497358884e-05	19158755520.751175	69.00056568348009
False	3d_cff_expansion	6.35839172658688e-05	18082878025.11935	73.10753040008785
False	3d_cff_expansion	6.73677252043687e-05	17067392432.035418	77.45883130097037
False	3d_cff_expansion	7.137670332946767e-05	16108900956.310411	82.0689509414209
False	3d_cff_expansion	7.562425126761532e-05	15204218611.349493	86.95334252658118
False	3d_cff_expansion	8.012456604207364e-05	14350316567.81523	92.12825864553493
