R	epsilon	W_toy
1.0000000000000000e+00	1.0000000000000000e+00	7.0710678118654746e-01
1.1568875283162823e+00	1.0000000000000000e+00	8.7523347895934356e-01
1.3383887531737571e+00	1.0000000000000000e+00	1.0721671789352802e+00
1.5483652565854986e+00	1.0000000000000000e+00	1.3006823866656601e+00
1.7912844546220039e+00	1.0000000000000000e+00	1.5640661935628937e+00
2.0723146452190302e+00	1.0000000000000000e+00	1.8663771497677659e+00
2.3974349678010771e+00	1.0000000000000000e+00	2.2126665344661118e+00
2.7735626141984144e+00	1.0000000000000000e+00	2.6091549011064301e+00
3.2086999973704500e+00	1.0000000000000000e+00	3.0633779558097349e+00
3.7121050090663621e+00	1.0000000000000000e+00	3.5843247428631577e+00
4.2944879887892746e+00	1.0000000000000000e+00	4.1825901621436969e+00
4.9682395947343858e+00	1.0000000000000000e+00	4.8705585222377170e+00
5.7476944248353528e+00	1.0000000000000000e+00	5.6626294126187426e+00
6.6494359966650469e+00	1.0000000000000000e+00	6.5754935653864646e+00
7.6926495748791419e+00	1.0000000000000000e+00	7.6284647974451065e+00
8.8995303528852308e+00	1.0000000000000000e+00	8.8438740987651645e+00
1.0295755673125127e+01	1.0000000000000000e+00	1.0247532895741918e+01
1.1911031332830067e+01	1.0000000000000000e+00	1.1869274057457730e+01
1.3779723598335575e+01	1.0000000000000000e+00	1.3743581095136634e+01
1.5941590374559995e+01	1.0000000000000000e+00	1.5910318135554759e+01
1.8442627085855346e+01	1.0000000000000000e+00	1.8415575615696781e+01
2.1336045265014107e+01	1.0000000000000000e+00	2.1312649282594521e+01
2.4683404670686500e+01	1.0000000000000000e+00	2.4663173047168698e+01
2.8555923019901090e+01	1.0000000000000000e+00	2.8538429605483834e+01
3.3035991201283395e+01	1.0000000000000000e+00	3.3020866585939046e+01
3.8218926206331190e+01	1.0000000000000000e+00	3.8205850396324159e+01
4.4214999073744892e+01	1.0000000000000000e+00	4.4203695030478556e+01
5.1151780992931450e+01	1.0000000000000000e+00	5.1142008963200425e+01
5.9176857481888248e+01	1.0000000000000000e+00	5.9168410042094443e+01
6.8460968385746582e+01	1.0000000000000000e+00	6.8453666122634601e+01
7.9201640501925525e+01	1.0000000000000000e+00	7.9195328256070411e+01
9.1627390118867410e+01	1.0000000000000000e+00	9.1621933722724108e+01
1.0600258488068825e+02	1.0000000000000000e+00	1.0599786832939095e+02
1.2263306841775632e+02	1.0000000000000000e+00	1.2262899141738075e+02
1.4187266741165962e+02	1.0000000000000000e+00	1.4186914325595723e+02
1.6413071953751299e+02	1.0000000000000000e+00	1.6412767326999256e+02
1.8988078244652633e+02	1.0000000000000000e+00	1.8987814927010405e+02
2.1967070907932353e+02	1.0000000000000000e+00	2.1966843298056168e+02
2.5413430367026390e+02	1.0000000000000000e+00	2.5413233622947971e+02
2.9400480643347106e+02	1.0000000000000000e+00	2.9400310579575779e+02
3.4013049382792531e+02	1.0000000000000000e+00	3.4012902381342309e+02
3.9349272630958495e+02	1.0000000000000000e+00	3.9349145564422145e+02
4.5522682755073095e+02	1.0000000000000000e+00	4.5522572920116062e+02
5.2664623934842803e+02	1.0000000000000000e+00	5.2664528994708303e+02
6.0927046613686809e+02	1.0000000000000000e+00	6.0926964548492845e+02
7.0485740364519029e+02	1.0000000000000000e+00	7.0485669428292408e+02
8.1544073951851703e+02	1.0000000000000000e+00	8.1544012635386650e+02
9.4337322162997839e+02	1.0000000000000000e+00	9.4337269161750055e+02
1.0913767146512739e+03	1.0000000000000000e+00	1.0913762565146119e+03
1.2626001098748563e+03	1.0000000000000000e+00	1.2625997138668401e+03
1.4606863203649889e+03	1.0000000000000000e+00	1.4606859780602672e+03
1.6898497868124587e+03	1.0000000000000000e+00	1.6898494909282488e+03
1.9549661430912615e+03	1.0000000000000000e+00	1.9549658873324067e+03
2.2616759492228643e+03	1.0000000000000000e+00	2.2616757281479013e+03
2.6165046987488236e+03	1.0000000000000000e+00	2.6165045076542137e+03
3.0270016537634647e+03	1.0000000000000000e+00	3.0270014885835221e+03
3.5019004614317128e+03	1.0000000000000000e+00	3.5019003186521063e+03
