profile,precision_mode,point_id,soft_family,ray_sign,lambda_GeV,radial_measure_power,total_re,total_im,cut0_re,cut0_im,cut1_re,cut1_im,cut2_re,cut2_im,cut3_re,cut3_im,cut4_re,cut4_im,cut5_re,cut5_im,finite,is_nan,final_status,final_precision,estimated_relative_accuracy,precision_history_json,cut_sum_residual_re,cut_sum_residual_im,source_result,source_result_sha256
ct-off,normal,0,q13,-1,1.0,2,-3.9812762807877027e-47,-5.199752343068259e-34,3.327755101515177e-47,-9.07225983111657e-31,-3.322145369348256e-47,2.6340088635025622e-30,6.799890855124237e-52,7.195480167956856e-35,-3.143744491523887e-47,-1.2290088718612696e-30,-8.434159676573745e-48,-4.982929048625301e-31,2.0644731808657283e-51,-7.303370309212437e-35,True,False,Stable,Double,1.1426835400286244e-10,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.1426835400286244e-10}]",0.0,-2.2382800788196083e-46,evaluation/ct-off-normal-point-00000.json,c345cbc1ed8d5523f026b1bcd58600ebe590ddf5b943b6793aec852facf53a12
ct-off,normal,1,q13,-1,0.1,2,8.650597446963992e-44,-2.8804350483051537e-33,2.5098187912506733e-44,-8.498250709557762e-28,8.406936917283426e-44,2.579827724307842e-27,-6.365675547169434e-50,7.279342825503065e-33,-5.0950699323292177e-45,-1.2343464438752675e-27,-1.7566610179806805e-44,-4.9565907908719355e-28,1.6115319043199363e-49,-7.290167478282766e-33,True,False,Stable,Double,5.325525211275665e-07,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":5.325525211275665e-07}]",9.956824444577827e-60,1.644695386308189e-43,evaluation/ct-off-normal-point-00001.json,1f3d82743a800914dc9fed64af60bd56fd786c37e08618e08a72d1fea92d67d1
ct-off,normal,2,q13,-1,0.01,2,5.347398295107279e-57,-2.6684991065798204e-32,4.1047824617321715e-57,-8.44542956037323e-25,2.341654963990587e-57,2.5748229539724346e-24,1.6945130398260586e-63,7.28776961929815e-31,-4.993436811461814e-58,-1.2348826170388074e-24,-5.996971011101784e-58,-4.953974074730129e-25,-4.287215946276562e-65,-7.28885244093365e-31,True,False,Stable,Quad,1.3934768881047007e-20,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.0006760191198402108},{""precision"":""Quad"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.3934768881047007e-20}]",0.0,1.0351927095771373e-40,evaluation/ct-off-normal-point-00002.json,4040cda53949423219c892a366f4d2f4c5c768f08a1081cbe88b111a4330f39a
ct-off,normal,3,q13,-1,0.001,2,-7.265475746606908e-55,-2.647484749713018e-31,-4.467998085567792e-55,-8.440189551109183e-22,1.9909308715089603e-54,2.5743264710402983e-21,1.8371144917250996e-61,7.288612704193979e-29,-2.3665034314844984e-54,-1.2349362588975335e-21,9.582472305902425e-56,-4.953712572955123e-22,-1.1289884716014265e-61,-7.288720989921079e-29,True,False,Stable,Quad,1.2546011371842586e-17,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.43744789736335254},{""precision"":""Quad"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.2546011371842586e-17}]",-2.897817305224548e-70,-2.102173893647431e-37,evaluation/ct-off-normal-point-00003.json,a3a1d92d71c2aee240c34784a0ae5066178e3da5a53894c680fa02cc46e746c7
ct-off,normal,4,q13,1,1.0,2,-1.304639178911835e-46,-4.695961541568511e-34,1.1620514471853416e-47,-5.148675316728999e-31,-3.4829900310846034e-47,-1.2196494087403686e-30,-2.5542201003033606e-51,1.0380265270380896e-34,-9.553332536364604e-47,2.572015578813885e-30,-1.1718988981785548e-47,-8.379671628651266e-31,3.365133409833958e-52,-1.048743423506453e-34,True,False,Stable,Double,2.8205101948608423e-10,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.8205101948608423e-10}]",-1.9446922743316068e-62,6.235025515703074e-47,evaluation/ct-off-normal-point-00004.json,df6f61617c2d2c9f9da6803455454947e2a83ab1f79fd90b3bc781fbbf3bd962
ct-off,normal,5,q13,1,0.1,2,-7.187719807052987e-44,-2.8621463214257696e-33,-2.494516171712435e-45,-4.972203637804506e-28,1.7073109250297711e-44,-1.2334641553848378e-27,8.986463619712098e-50,1.0532831853033256e-32,-8.094324444255278e-44,2.5740394289759114e-27,-5.512643401615854e-45,-8.433577611395642e-28,6.830417290992735e-51,-1.0543649233031801e-32,True,False,Stable,Double,2.423579133473978e-07,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.423579133473978e-07}]",0.0,2.6746121250598114e-43,evaluation/ct-off-normal-point-00005.json,4e9c04f93c7f8bbcaf429dcff254c97ccd5867de876536604b8e6d27723e2d28
ct-off,normal,6,q13,1,0.01,2,4.196494456080453e-57,-2.6669855729592395e-32,1.3188301355801907e-57,-4.955526257392402e-25,8.373916604802771e-58,-1.2347950551663357e-24,1.4518693102367894e-63,1.0548213034268382e-30,-3.372846336757431e-58,2.5742480953314318e-24,2.377553532325891e-57,-8.439004409874368e-25,2.309500527027909e-63,-1.0549295783114582e-30,True,False,Stable,Quad,2.1871952074643814e-21,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.00016381706960020453},{""precision"":""Quad"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.1871952074643814e-21}]",0.0,-7.614545831316318e-41,evaluation/ct-off-normal-point-00006.json,45b754f5a1548d46920d68b98878dd3d90f01b0f0d075329a60f2d34626bf93d
ct-off,normal,7,q13,1,0.001,2,9.120368806325655e-54,-2.647336546907633e-31,-4.2782721661691496e-55,-4.95386770068927e-22,-9.474025400743195e-56,-1.2349275095249766e-21,-3.0115972456956592e-61,1.0549752405284374e-28,1.0495415955343996e-53,2.5742690247554622e-21,-8.524796129118547e-55,-8.439547454252093e-22,2.3567758601543675e-61,-1.0549860690283521e-28,True,False,Stable,Quad,1.5029026092943142e-18,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.574390472553496},{""precision"":""Quad"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.5029026092943142e-18}]",0.0,1.171488432627976e-37,evaluation/ct-off-normal-point-00007.json,8316cf9923bba61297729f8498dd281f33452fc346d28a857fc040600dc92081
ct-off,normal,8,q14,-1,1.0,2,6.925611551589119e-52,-2.1418086990470973e-36,4.335273737931995e-52,-1.4587677530843418e-35,-5.93766310334099e-54,-7.2653146330258366e-37,-1.4583240699213792e-52,1.4180761738348316e-35,5.787574226350486e-52,4.154625634612664e-35,-2.388858629652044e-55,7.071013099096501e-38,-1.6771468531089203e-52,-4.2625327920367023e-35,True,False,Stable,Double,1.7804424138474261e-12,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.7804424138474261e-12}]",0.0,-7.016007363992014e-51,evaluation/ct-off-normal-point-00008.json,1aa99b775a27d3fb848d366e575b38e440b298a1b9a778c043d31c71244a6515
ct-off,normal,9,q14,-1,0.1,2,-1.380907531846727e-49,-2.1221789508297575e-35,-1.8394075342679935e-50,-1.4625085252184503e-33,-1.365541106534548e-53,-7.080055972219455e-36,2.8678512859000875e-50,1.4583440263009449e-33,-9.660806511604747e-50,4.1578706844292166e-33,3.3196928307333037e-54,7.067412708099699e-37,-5.175678986671156e-50,-4.168554660318599e-33,True,False,Stable,Double,1.0234679545352411e-10,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.0234679545352411e-10}]",0.0,4.142785300642903e-49,evaluation/ct-off-normal-point-00009.json,e676e5c2ecf8b02cab3403aa14d1854044db033d2a9d1f56eefb731f2ca94c1b
