case_id,point_id,mode,rotation,precision_mode,normal_radius_GeV,normal_angle_radians,Z_sign,finite,is_nan,final_precision,final_status,final_estimated_relative_accuracy,stability_history,source_id,source_sha256,total_re,total_im,0_re,0_im,1_re,1_im,2_re,2_im,3_re,3_im,4_re,4_im,5_re,5_im
point-00-z-arb,0,z_arb,z,arb,0.2,-0.20230944060963285,-1,True,False,Arb,"{""Stable"":2}",1.1751525632545232e-14,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.1751525632545232e-14}]",point-00-z-arb.json,5c173272ed8b32f326be5b47e6ea48479491aae36013327933d18b39e7f6d014,-1.114460184817103e-35,2.4970931647487503e-35,3.217446366180892e-48,-7.567401182170037e-41,1.6616487266132406e-36,2.5306380511903635e-35,0.0,1.2018027693101504e-41,-1.2807507872599147e-35,-3.3297721983249403e-37,3.394791014811499e-40,9.22604507591391e-40,9.178187101764324e-40,-3.3305931070971786e-39
point-01-z-arb,1,z_arb,z,arb,0.02,-0.20230944060963285,-1,True,False,Arb,"{""Stable"":2}",1.6147252630285727e-15,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.6147252630285727e-15}]",point-01-z-arb.json,fb1cb49debe798c07b9d961060c4906e3c1aa2c893ca9b41448866b07706293b,-1.1125175491842414e-34,2.5291938062333393e-34,3.238697681126777e-48,-7.538256815251317e-41,1.618351864933376e-35,2.5615370309054698e-34,0.0,1.196077531817804e-41,-1.274365327422178e-34,-3.2318539182997715e-36,3.4205912181079696e-40,9.186123392778272e-40,9.171153348361606e-40,-3.32373945973921e-39
point-02-z-arb,2,z_arb,z,arb,0.002,-0.20230944060963285,-1,True,False,Arb,"{""Stable"":2}",2.152574308484243e-15,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.152574308484243e-15}]",point-02-z-arb.json,bf01d46ecf1b84a715a3f4c01f0eed54fc5318fbd6d65aae7cbfb1470d334af1,-1.1123254331541373e-33,2.5324273735290037e-33,3.240903500498629e-48,-7.5353468669587e-41,1.613988544248612e-34,2.564650817108849e-33,0.0,1.195505589650953e-41,-1.2737255469418164e-33,-3.222097534210784e-35,3.4231889703861855e-40,9.182150041996296e-40,9.170439176128685e-40,-3.323054329026959e-39
point-03-z-arb,3,z_arb,z,arb,0.0002,-0.20230944060963285,-1,True,False,Arb,"{""Stable"":2}",4.295558842596755e-16,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":4.295558842596755e-16}]",point-03-z-arb.json,8e4b10229e0c3fda0503a4dbbba93548a40c368acbfe6c0495adb2d4f697b22d,-1.1123062428592173e-32,2.5327509657920005e-32,3.241124893694892e-48,-7.535055916950933e-41,1.613551872437043e-33,2.5649624351203515e-32,0.0,1.1954484012787858e-41,-1.2736615560410877e-32,-3.2211222507690625e-34,3.4234489232089392e-40,9.181752894414391e-40,9.170367651049509e-40,-3.3229858182480855e-39
point-04-z-arb,4,z_arb,z,arb,0.2,0.20230944060963285,1,True,False,Arb,"{""Stable"":2}",1.1190236748500542e-298,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.1190236748500542e-298}]",point-04-z-arb.json,786f4d45af86bada7330e85f4399903b7836798b822c0d023bacb0add4ee9024,-6.078967734635547e-37,3.155640594858768e-35,1.8921897837913876e-41,-4.692584361343121e-41,-5.605806140836091e-37,2.91002779938444e-35,0.0,1.196356279359108e-41,-4.837053654958575e-38,2.4582062961741604e-36,1.1785879579927573e-40,1.2746885929940141e-39,9.175964760029812e-40,-3.318067743055461e-39
point-05-z-arb,5,z_arb,z,arb,0.02,0.20230944060963285,1,True,False,Arb,"{""Stable"":2}",5.640980362056775e-301,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":5.640980362056775e-301}]",point-05-z-arb.json,007d52253f40761ca35fbc9574f3cac60e3aa2a2501b3db8d4e427430ee90441,-6.471891866607975e-36,3.185668858760812e-34,1.8943792159661445e-41,-4.693143151563921e-41,-6.018178591177497e-36,2.939924540025552e-34,-0.0,1.1955335262497865e-41,-4.547672687121152e-37,2.4576510757382883e-35,1.1795741658884285e-40,1.2785785703863388e-39,9.170920728878558e-40,-3.322486331021545e-39
point-06-z-arb,6,z_arb,z,arb,0.002,0.20230944060963285,1,True,False,Arb,"{""Stable"":2}",2.494115864099834e-296,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.494115864099834e-296}]",point-06-z-arb.json,ed55256bd42b215ac18f3600aebec29d8344ab4ba57aa021d9e8fc27bafbe135,-6.511594207056234e-35,3.188694857590058e-33,1.8945982737271693e-41,-4.693198862908892e-41,-6.059826636850633e-35,2.9429374063855663e-33,-0.0,1.1954511955561333e-41,-4.518729656895742e-36,2.457595301424767e-34,1.1796727595081383e-40,1.2789685019381963e-39,9.170415810433562e-40,-3.3229290101616653e-39
point-07-z-arb,7,z_arb,z,arb,0.0002,0.20230944060963285,1,True,False,Arb,"{""Stable"":2}",0.0,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":0.0}]",point-07-z-arb.json,1279f93c108d29af560ce5c944001e838e7f3d5ff30c937884748e1c410c2559,-6.515568568421585e-34,3.188997691524948e-32,1.8946201806489543e-41,-4.693204432367941e-41,-6.063995577373056e-34,2.9432389272217077e-32,-0.0,1.1954429619339514e-41,-4.515835305584788e-35,2.457589721975799e-33,1.1796826185973902e-40,1.2790075044535362e-39,9.170365313442633e-40,-3.322973286301556e-39
point-00-euler-arb,0,euler_arb,euler,arb,0.2,-0.20230944060963285,-1,True,False,Arb,"{""Stable"":2}",2.754949911394551e-15,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.754949911394551e-15}]",point-00-euler-arb.json,64c9f65e5d4e88d559c2773b2f5a8c36d274a24a7c47bde235334260d48bcc52,-1.114460184817103e-35,2.4970931647487503e-35,3.217446366180892e-48,-7.567401182170037e-41,1.6616487266132406e-36,2.5306380511903635e-35,0.0,1.2018027693101504e-41,-1.2807507872599147e-35,-3.3297721983249403e-37,3.394791014811499e-40,9.22604507591391e-40,9.178187101764324e-40,-3.3305931070971786e-39
point-01-euler-arb,1,euler_arb,euler,arb,0.02,-0.20230944060963285,-1,True,False,Arb,"{""Stable"":2}",2.957765097213271e-15,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.957765097213271e-15}]",point-01-euler-arb.json,1c9e993e3fcf7380bdb51498642be01f29b9cc9dd57a1984f649de529fba0047,-1.1125175491842414e-34,2.5291938062333393e-34,3.238697681126777e-48,-7.538256815251317e-41,1.618351864933376e-35,2.5615370309054698e-34,0.0,1.196077531817804e-41,-1.274365327422178e-34,-3.2318539182997715e-36,3.4205912181079696e-40,9.186123392778272e-40,9.171153348361606e-40,-3.32373945973921e-39
