sample,profile,precision_mode,coordinate_system,local_channel,generated_basis_id,parameterization_jacobian,finite,is_nan,source_sha256,maximum_components,stability_history,total_re,total_im,total_times_jacobian_re,total_times_jacobian_im,0_re,0_im,1_re,1_im,2_re,2_im,3_re,3_im,4_re,4_im,5_re,5_im
baseline6-re,baseline6,normal,spherical,5,22,4.526809239105691e+37,True,False,38a6dcd8ed316c2df22aa744de0f7ee97848bb88403abb6159220c35c27c2346,re,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.5357790093489688e-14}]",-5.937328273738329e-39,-6.241238478646119e-40,-0.2687715248516211,-0.0282528960085972,8.02451039300407e-05,-9.77328182909034e-05,-0.24230504035151493,-0.008731192789429292,-1.833392468036162e-23,9.445698733683985e-06,-0.027511719162220696,-0.018824084600661137,0.000385438270963459,-0.0015307125944404834,0.0005795512872210439,0.0009213810954907221
baseline6-re,baseline6,arb,spherical,5,22,4.526809239105691e+37,True,False,1e7ba036667a9ef045871cdd213aa3c83cf2f9914c797fab6f9cbf9b5469d05e,re,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.9941477624016092e-13}]",-5.937328273733684e-39,-6.24123847865319e-40,-0.26877152485141087,-0.028252896008629208,8.024510393004076e-05,-9.77328182909032e-05,-0.24230504035130404,-0.008731192789460988,0.0,9.445698733683924e-06,-0.027511719162221383,-0.018824084600661265,0.0003854382709634569,-0.0015307125944404648,0.0005795512872210443,0.0009213810954907302
baseline6-im,baseline6,normal,spherical,4,21,4.4785732887357025e+34,True,False,5a60e42f32a213160d006927c8e54b623b2b5d48658545a257663674c10f1885,im,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":6.206545357323086e-14}]",-4.0011989070038895e-36,1.0017228902098711e-34,-0.17919662547826107,4.486289378809055,5.091472558445626e-06,1.2100513621880544e-05,-0.14752670669973628,4.508502145718112,-9.028433076757214e-23,7.414194131773194e-06,-0.0323671540524098,-0.02184272542670117,0.0003193628150935805,0.0008438248906068758,0.00037278098623296223,-0.001233381080716716
baseline6-im,baseline6,arb,spherical,4,21,4.4785732887357025e+34,True,False,a63bf58f555c32dc6f94a058070c2346e5a1e803979b0812fece9f86d0b8cc2d,im,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.976611666666427e-18}]",-4.0011989070041735e-36,1.0017228902098908e-34,-0.1791966254782738,4.486289378809143,5.091472558447194e-06,1.2100513621877976e-05,-0.14752670669974158,4.508502145718219,0.0,7.414194131773204e-06,-0.0323671540524172,-0.02184272542671902,0.0003193628150935661,0.0008438248906068568,0.00037278098623295226,-0.0012333810807168357
union7-re,union7,normal,spherical,6,84,6.119091818151683e+34,True,False,98f38ea90bfb41e60e9dc6de050a1f81cde9478b6a672da213cc47fe944f9971,re,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":5.694465364895947e-13}]",2.0375918678739633e-36,-1.849245170302771e-36,0.12468211727439973,-0.11315700991356202,1.1837974583576906e-10,-8.633492439017182e-05,0.029412758797698522,-0.10332321726046781,9.374808318272584e-24,9.897329324665337e-06,0.09509167126703558,-0.009247776319165714,3.992171021948393e-06,0.00014978556544040792,0.00017369492026394435,-0.0006593643043033733
union7-re,union7,arb,spherical,6,84,6.119091818151683e+34,True,False,e06a6413c27dce3f18feb0ddafc2c8f107f1d0752b6d397c903450cd2a93a8e6,re,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":7.287810933918063e-13}]",2.0375918678737358e-36,-1.8492451703016704e-36,0.12468211727438581,-0.11315700991349467,1.1837974583616168e-10,-8.633492439019756e-05,0.029412758797667946,-0.10332321726042955,-0.0,9.89732932466548e-06,0.09509167126705222,-0.009247776319136612,3.992171021957759e-06,0.00014978556544037458,0.000173694920263946,-0.0006593643043033669
union7-im,union7,normal,spherical,1,2,2.370124976823063e+34,True,False,02fa6aff368912d690f4463141ff0fd3e8a666069d8f9cd8080ecffa7afdeb04,im,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":6.701330605455062e-14}]",4.148508479198311e-36,-2.2392778682811182e-35,0.09832483563110177,-0.5307368405660182,1.8396943905243195e-24,-3.159817272246639e-07,0.09818110248451206,-0.5308076271762807,-1.3409354111213989e-24,7.734232454415558e-08,0.00012147606525085696,6.29726980743788e-05,9.509346651079222e-06,0.00011872707859738357,1.2747734687772697e-05,-0.00011067452700669442
union7-im,union7,arb,spherical,1,2,2.370124976823064e+34,True,False,da350af203c11e5790dcabcea23cd1dec2d99f4b6017c8ba2882103e8aa63ff0,im,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.0155827596213083e-18}]",4.1485084791986206e-36,-2.2392778682812844e-35,0.09832483563110915,-0.530736840566058,6.948604442832903e-32,-3.159817272246625e-07,0.0981811024845194,-0.5308076271763204,-0.0,7.734232454415558e-08,0.00012147606525091672,6.29726980743701e-05,9.509346651078709e-06,0.0001187270785973921,1.2747734687772713e-05,-0.00011067452700669422
common6-re,common6,normal,spherical_common_radial,0,1,1.678222297340445e+32,True,False,6bec3ccd44662cc7a78c406dc6636ec685942350bed72741dadd10fc9b1e1e82,"re,im","[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.0589394490928721e-13}]",-1.7611808714829607e-33,-3.2051812163671125e-33,-0.2955653008172181,-0.5379006584324058,3.856111045694472e-06,-0.00011488128584694633,-0.32414743382098976,-0.5494901668069928,2.102056549756137e-23,6.862630749314159e-05,0.026762137227818117,0.013584629958311301,0.0007506245757470689,0.000458453078595581,0.001065515089160733,-0.0024073196839661856
common6-re,common6,arb,spherical_common_radial,0,1,1.678222297340448e+32,True,False,b0aa374a99cd27d91b5e7c3a93ff5576caacb6aa129d7312f80af5874e335a51,"re,im","[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.0759421040347834e-13}]",-1.7611808714830924e-33,-3.2051812163678324e-33,-0.29556530081724075,-0.5379006584325274,3.856111045684906e-06,-0.00011488128584711532,-0.32414743382101696,-0.5494901668071163,-0.0,6.862630749314162e-05,0.026762137227822523,0.013584629958313584,0.0007506245757473202,0.00045845307859530734,0.0010655150891606979,-0.002407319683966129
