point_index	source	scan_row_index	x0	x1	x2	x3	x4	x5	dx2_from_root	signed_side_fraction	t	total_re	total_im	total_abs	dominant_re	dominant_im	dominant_abs	other_re	other_im	other_abs	scan_re	scan_im	scan_abs	is_nan
0	root_log_probe		0.5387589249438893	0.24174091659991892	0.9440881235200773	0.7527842995682404	0.5585112730395129	0.25621170988207465	-2.999999999997449e-05			0.01992115405254044	0.05117692421799174	0.054917483110564325	0.019986532396193357	0.05111975174264414	0.05488798133884735	-6.53783436529165e-05	5.7172475347602725e-05	8.685055990706732e-05				False
1	saved_scan_row	25	0.5387589249438893	0.24174091659991892	0.9440948835953038	0.7527842995682404	0.5585112730395129	0.25621170988207465	-2.323992477348824e-05	-2.5595479226995385e-05	-2.416517950072613e-05	0.025732330750911168	0.06604791090378877	0.07088356213276184	0.025797705945071164	0.06599074588170623	0.07085407662267773	-6.537519415999657e-05	5.716502208254204e-05	8.684328276357802e-05	0.025732330750911178	0.06604791090378877	0.07088356213276184	False
2	root_log_probe		0.5387589249438893	0.24174091659991892	0.9440962361680317	0.7527842995682404	0.5585112730395129	0.25621170988207465	-2.1887352045557584e-05			0.027326010848250034	0.07012619029342636	0.07526216469082272	0.027391385412421733	0.07006902676241242	0.07523268243418879	-6.537456417169893e-05	5.7163531013940116e-05	8.684182701107384e-05				False
3	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441021549807583	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.59685393189557e-05			0.037475509704578684	0.09609909531379769	0.1031477093674326	0.03754088151260991	0.09604193830686854	0.1031182413469322	-6.537180803122683e-05	5.715700692915382e-05	8.683545777141335e-05				False
4	saved_scan_row	26	0.5387589249438893	0.24174091659991892	0.944103217475632	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.4906044445317512e-05	-1.67683293681101e-05	-1.583129917256271e-05	0.04015077972219725	0.10294520137048847	0.11049796196089241	0.040216151035584555	0.10288804553457286	0.11046849649579416	-6.537131338730379e-05	5.715583591561768e-05	8.68343146065776e-05	0.040150779722197244	0.10294520137048847	0.11049796196089241	False
5	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441064732186865	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.1650301390830897e-05			0.05138696565362404	0.1316989822655708	0.1413691697962249	0.051452335451519775	0.13164183001767069	0.14133971216122176	-6.536979789573821e-05	5.7152247900121855e-05	8.68308120252635e-05				False
6	saved_scan_row	27	0.5387589249438893	0.24174091659991892	0.9441086772386245	0.7527842995682404	0.5585112730395129	0.25621170988207465	-9.446281452829552e-06	-1.0985411419875596e-05	-1.0371536180132812e-05	0.063389855816005	0.16241478819656713	0.174346887684609	0.06345522458815438	0.162357638377405	0.17431743535005706	-6.53687721493823e-05	5.714981916213335e-05	8.682844120783469e-05	0.063389855816005	0.16241478819656713	0.174346887684609	False
7	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441096237118113	0.7527842995682404	0.5585112730395129	0.25621170988207465	-8.499808266004827e-06			0.07045476620286248	0.1804941360058561	0.19375759911084905	0.0705201345345714	0.1804369872296138	0.19372814905241278	-6.536833170892042e-05	5.7148776242299526e-05	8.682742318184888e-05				False
8	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441119222435493	0.7527842995682404	0.5585112730395129	0.25621170988207465	-6.201276527950661e-06			0.09659013509715868	0.2473754434620894	0.2655640491974634	0.09665550235936338	0.2473182972184665	0.26553460466647777	-6.536726220469913e-05	5.7146243622907544e-05	8.682495107022283e-05				False
9	saved_scan_row	28	0.5387589249438893	0.24174091659991892	0.9441122540852744	0.7527842995682404	0.5585112730395129	0.25621170988207465	-5.869434802852069e-06	-7.196856730011529e-06	-6.794689530107028e-06	0.10205427708034523	0.26135837097686715	0.280576680339036	0.1021196441881579	0.26130122509886566	0.2805472366060376	-6.536710781267219e-05	5.714587800148552e-05	8.68245941905528e-05	0.10205427708034524	0.26135837097686715	0.280576680339036	False
10	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441135992026607	0.7527842995682404	0.5585112730395129	0.25621170988207465	-4.524317416598755e-06			0.13241270035587982	0.339046622790193	0.3639859003326522	0.1324780668379007	0.3389894783941936	0.3639564598342427	-6.53664820208788e-05	5.7144395999408903e-05	8.682314763888218e-05				False
11	saved_scan_row	29	0.5387589249438893	0.24174091659991892	0.9441145973796584	0.7527842995682404	0.5585112730395129	0.25621170988207465	-3.526140418874668e-06	-4.71486636345739e-06	-4.451395146167708e-06	0.1699120113168962	0.43500865389493626	0.4670145828057594	0.16997737733456925	0.43495151059865	0.46698514470760855	-6.536601767304084e-05	5.714329628625503e-05	8.682207424895478e-05	0.16991201131689623	0.43500865389493626	0.4670145828057594	False
12	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441148226758085	0.7527842995682404	0.5585112730395129	0.25621170988207465	-3.300844268805392e-06			0.1815130680403997	0.4646961586718096	0.49888827782758577	0.18157843395327022	0.46463901562373194	0.49885884027118604	-6.536591287051308e-05	5.7143048077634706e-05	8.682183198365707e-05				False
13	root_log_probe		0.5387589249438893	0.24174091659991892	0.944115715295392	0.7527842995682404	0.5585112730395129	0.25621170988207465	-2.408224685335192e-06			0.2488127203804637	0.6369182940254903	0.683792865630717	0.24887808587812366	0.6368611519607932	0.6837634302207066	-6.53654976599527e-05	5.7142064697091044e-05	8.682087215744738e-05				False
14	saved_scan_row	30	0.5387589249438893	0.24174091659991892	0.9441161325387265	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.990981350785681e-06	-3.088843596477485e-06	-2.9162360781204662e-06	0.3009674512606139	0.7703840527738816	0.8270870543580167	0.30103281656419756	0.7703269111688427	0.8270576199512969	-6.536530358364212e-05	5.714160503889065e-05	8.682042351314736e-05	0.30096745126061386	0.7703840527738814	0.8270870543580165	False
15	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441163665313609	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.7569887164059494e-06			0.34105731252510557	0.8729753934211225	0.9372332302824155	0.34112267771985244	0.8729182520738603	0.9372037964383445	-6.536519474686919e-05	5.714134726220177e-05	8.682017191434067e-05				False
16	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441168416590581	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.2818610192200097e-06			0.46749281372900564	1.196528211734539	1.284612506697999	0.46755817870276206	1.1964710709106923	1.284583073996393	-6.536497375642103e-05	5.7140823846779654e-05	8.681966104556221e-05				False
17	saved_scan_row	31	0.5387589249438893	0.24174091659991892	0.9441171382652712	0.7527842995682404	0.5585112730395129	0.25621170988207465	-9.852548060740318e-07	-2.0235896477251557e-06	-1.910509533320814e-06	0.6082463941903424	1.5567214903568722	1.6713304504449367	0.6083117590261453	1.5566643498597714	1.671301018456528	-6.536483580288355e-05	5.7140497100816035e-05	8.6819342133342e-05	0.6082463941903424	1.5567214903568722	1.6713304504449367	False
18	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441171883019639	0.7527842995682404	0.5585112730395129	0.25621170988207465	-9.352181133959192e-07			0.6407922652057437	1.640007499523983	1.7607496487696415	0.6408576300182747	1.6399503590820035	1.7607202169015475	-6.536481253094362e-05	5.714044197957513e-05	8.681928833402515e-05				False
19	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441174412051411	0.7527842995682404	0.5585112730395129	0.25621170988207465	-6.823149362178427e-07			0.878326047849237	2.247864662041049	2.4133694671938195	0.8783914125441434	2.247807521877669	2.413340035933835	-6.53646949064779e-05	5.7140163379987285e-05	8.681901641523345e-05				False
20	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441176257178368	0.7527842995682404	0.5585112730395129	0.25621170988207465	-4.978022405399685e-07			1.2039029941121764	3.0810273247226907	3.3078863032033197	1.2039683587212677	3.0809701847625695	3.307856872386997	-6.536460909134512e-05	5.7139960121244115e-05	8.681881803112574e-05				False
21	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441177603343144	0.7527842995682404	0.5585112730395129	0.25621170988207465	-3.631857629082802e-07			1.6501568594670704	4.223006396172422	4.5339608162135026	1.650222224013554	4.222949256360592	4.533931385720864	-6.536454648364831e-05	5.7139811829642895e-05	8.681867329635958e-05				False
22	saved_scan_row	32	0.5387589249438893	0.24174091659991892	0.9441177971454512	0.7527842995682404	0.5585112730395129	0.25621170988207465	-3.263746261028544e-07	-1.3257113655901108e-06	-1.2516293534308813e-06	1.8362814292823857	4.699305605955877	5.045334742680182	1.836346793811749	4.6992484661845975	5.045305312276055	-6.536452936334314e-05	5.713977127985714e-05	8.681863371883788e-05	1.836281429282386	4.699305605955876	5.045334742680181	False
23	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441178585475889	0.7527842995682404	0.5585112730395129	0.25621170988207465	-2.649724883951876e-07			2.261817382386411	5.788266823750173	6.214487162605796	2.261882746887218	5.788209684046533	6.21445773234931	-6.536450080663059e-05	5.713970363974141e-05	8.681856770148589e-05				False
24	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441179302018728	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.9331820444445924e-07			3.1001938314018274	7.933701145523135	8.517911461076421	3.1002591958693095	7.933644005898428	8.517882030992228	-6.536446748217628e-05	5.7139624707325254e-05	8.681849066254524e-05				False
25	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441179824792907	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.4104078660537311e-07			4.249320489528436	10.874355997400482	11.675116401172453	4.249385853971605	10.874298857833365	11.675086971213963	-6.536444316829204e-05	5.713956711694834e-05	8.68184344538251e-05				False
26	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441180206197657	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.029003116048699e-07			5.824380252139419	14.90498839135906	16.00256492778767	5.82444561656485	14.90493125183396	16.00253549792089	-6.536442543048082e-05	5.713952510078002e-05	8.681839344631734e-05				False
27	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441180484462324	0.7527842995682404	0.5585112730395129	0.25621170988207465	-7.50738449184496e-08			7.983250808532493	20.42961279330791	21.934023168502968	7.983316172944983	20.429555653813463	21.933993738703094	-6.536441248972125e-05	5.71394944479664e-05	8.681836352924195e-05				False
28	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441180687478216	0.7527842995682404	0.5585112730395129	0.25621170988207465	-5.477225573091715e-08			10.942330753623867	28.00200069013986	30.064042392404517	10.942396118026915	28.001943550667775	30.064012962653457	-6.536440304749647e-05	5.713947208363379e-05	8.68183417012323e-05				False
29	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441180835594225	0.7527842995682404	0.5585112730395129	0.25621170988207465	-3.9960654785176075e-08			14.998233664522264	38.3811964818078	41.20756309745511	14.998299028918423	38.38113934235203	41.20753366773967	-6.536439615878464e-05	5.713945576957258e-05	8.681832577771517e-05				False
30	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441180943656466	0.7527842995682404	0.5585112730395129	0.25621170988207465	-2.9154430647437835e-08			20.55752613675925	52.60761814430189	56.481619733150545	20.557591501150384	52.60756100485802	56.48159030346108	-6.536439113347114e-05	5.7139443867981754e-05	8.681831416119319e-05				False
31	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181022496343	0.7527842995682404	0.5585112730395129	0.25621170988207465	-2.1270442962517677e-08			28.17748946875579	72.10736778963675	77.41733269954338	28.177554833143258	72.10731065020157	77.41730326987286	-6.536438746707063e-05	5.713943518514952e-05	8.681830568620447e-05				False
32	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181080016215	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.5518455742657977e-08			38.622003433196674	98.83524016911281	106.11344800957166	38.62206879758146	98.83518302968396	106.11341857991498	-6.536438478832451e-05	5.713942884710832e-05	8.681829949803154e-05				False
33	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181121981471	0.7527842995682404	0.5585112730395129	0.25621170988207465	-1.1321930171170891e-08			52.938153725439754	135.4707637826858	145.44681488338802	52.93821908982259	135.47070664326156	145.44678545374143	-6.536438283433199e-05	5.713942422858054e-05	8.681829498721344e-05				False
34	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181152598416	0.7527842995682404	0.5585112730395129	0.25621170988207465	-8.260235717649778e-09			72.56128450970924	185.68703397711687	199.36101574008376	72.56134987409067	185.68697683769602	199.36098631044453	-6.536438142745737e-05	5.7139420846397115e-05	8.681829170201298e-05				False
35	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181174935878	0.7527842995682404	0.5585112730395129	0.25621170988207465	-6.0264895296313625e-09			99.45897315522946	254.51914927403433	273.2619342101472	99.45903851960983	254.51909213461596	273.26190478051336	-6.536438037585413e-05	5.7139418373708395e-05	8.681828928287535e-05				False
36	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181191232807	0.7527842995682404	0.5585112730395129	0.25621170988207465	-4.3967965934754716e-09			136.3286138730214	348.86983472840257	374.5606126436178	136.328679237401	348.869777588986	374.56058321398785	-6.536437959425712e-05	5.71394165831407e-05	8.681828751595963e-05				False
37	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181203122695	0.7527842995682404	0.5585112730395129	0.25621170988207465	-3.207807797167561e-09			186.86833898908012	478.202738834361	513.4176034625438	186.86840435345917	478.2026816949458	513.4175740329167	-6.536437905424464e-05	5.713941521889865e-05	8.681828621151584e-05				False
38	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181211797299	0.7527842995682404	0.5585112730395129	0.25621170988207465	-2.3403473603522684e-09			256.14856962029717	655.4932445521929	703.7637979976557	256.1486349846758	655.4931874127785	703.7637685680307	-6.53643786563407e-05	5.7139414366247365e-05	8.6818285350767e-05				False
